Contract,Total_Giai_tri,Total_Phim_truyen,Total_The_thao,Total_Thieu_nhi,Total_Truyen_hinh,TotalDevices,MostWatch,CustomerTaste,Activeness,CustomerType
AGD025110,0,2176,0,0,134701,1,Truyen_hinh,Truyen_hinh-Phim_truyen,moderate,3
AGD025201,0,0,0,0,362059,1,Truyen_hinh,Truyen_hinh,very high,6
AGD025233,0,0,0,0,903,1,Truyen_hinh,Truyen_hinh,very low,1
AGD025485,11,0,0,0,197440,1,Truyen_hinh,Truyen_hinh-Giai_tri,high,5
AGD025539,0,0,0,0,549138,1,Truyen_hinh,Truyen_hinh,high,5
AGD025569,0,0,0,0,1960062,1,Truyen_hinh,Truyen_hinh,very high,6
AGD025642,0,0,0,0,259498,1,Truyen_hinh,Truyen_hinh,very low,0
AGD025754,0,0,0,0,1025570,1,Truyen_hinh,Truyen_hinh,low,0
AGD025971,0,0,0,7239,415645,1,Truyen_hinh,Truyen_hinh-Thieu_nhi,very high,6
AGD026023,0,0,0,0,547714,1,Truyen_hinh,Truyen_hinh,very high,6
AGD026427,0,0,0,0,14552,1,Truyen_hinh,Truyen_hinh,very low,1
AGD026510,0,0,0,0,676380,1,Truyen_hinh,Truyen_hinh,very high,6
